test;scheduling;bilder;threads;laufzeit_s;speedup;efficiency;throughput;Datensatz;Methode;SavePrefix
Gleiche Aufloesung (1024x1024);static;100;1;1.2909;1.0;1.0;77.46;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;100;2;0.5844;2.209;1.1045;171.12;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;100;4;0.3554;3.6323;0.9081;281.37;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;100;8;0.2403;5.372;0.6715;416.14;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;100;16;0.2119;6.0913;0.3807;471.86;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;1;6.5066;1.0;1.0;76.85;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;2;2.9336;2.2179;1.109;170.44;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;4;1.7532;3.7112;0.9278;285.19;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;8;1.279;5.0872;0.6359;390.93;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;500;16;1.0621;6.1259;0.3829;470.75;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;1;13.0631;1.0;1.0;76.55;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;2;7.1635;1.8236;0.9118;139.6;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;4;4.5227;2.8883;0.7221;221.1;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;8;3.0038;4.3488;0.5436;332.91;NIH;Static Threading;static_nih
Gleiche Aufloesung (1024x1024);static;1000;16;2.4856;5.2555;0.3285;402.32;NIH;Static Threading;static_nih
Variable Aufloesung;static;100;1;0.8323;1.0;1.0;120.15;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;100;2;0.5138;1.6198;0.8099;194.62;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;100;4;0.329;2.5295;0.6324;303.93;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;100;8;0.2438;3.4132;0.4266;410.1;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;100;16;0.244;3.4115;0.2132;409.9;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;1;4.3846;1.0;1.0;114.04;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;2;2.5623;1.7112;0.8556;195.14;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;4;1.6113;2.7212;0.6803;310.31;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;8;1.1855;3.6986;0.4623;421.77;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;500;16;1.1387;3.8506;0.2407;439.1;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;1;8.6761;1.0;1.0;115.26;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;2;5.1333;1.6902;0.8451;194.81;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;4;3.2116;2.7014;0.6754;311.37;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;8;2.3333;3.7184;0.4648;428.58;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;static;1000;16;2.2381;3.8765;0.2423;446.8;Kaggle Pneumonia;Static Threading;static_kaggle_pneumonia
Variable Aufloesung;dynamic;100;1;0.8874;1.0;1.0;112.68;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;100;2;0.5178;1.7137;0.8569;193.11;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;100;4;0.3285;2.7018;0.6755;304.45;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;100;8;0.2414;3.6765;0.4596;414.27;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;100;16;0.2337;3.7967;0.2373;427.82;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;1;4.2721;1.0;1.0;117.04;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;2;2.4589;1.7374;0.8687;203.34;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;4;1.5462;2.763;0.6907;323.37;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;8;1.1274;3.7895;0.4737;443.52;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;500;16;1.085;3.9372;0.2461;460.81;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;1000;1;8.9051;1.0;1.0;112.3;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
Variable Aufloesung;dynamic;1000;2;5.1234;1.7381;0.8691;195.18;Kaggle Pneumonia;Dynamic Threading;dynamic_kaggle_pneumonia
