Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Std,CI_low,CI_high,Speedup,Efficiency,Throughput,all_times
1,Dynamic Adaptive,NIH,1000,4,6.267,0.474,5.9283,6.6065,1.984,0.496,159.56,"[6.242272600007709, 6.394131700013531, 6.292479199997615, 5.696246500010602, 6.979400199983502, 6.888699099974474, 7.147161699977005, 6.076862899994012, 6.155654200003482, 5.956827100017108]"
1,Dynamic,NIH,1000,8,5.164,0.2385,4.9936,5.3348,2.335,0.292,193.64,"[5.081325399980415, 5.554535800009035, 5.404174800001783, 5.330899900000077, 5.247031200007768, 5.017225000017788, 4.946752799995011, 4.959797899995465, 4.89882529998431, 5.457219800009625]"
1,Dynamic Adaptive,NIH,1000,8,5.548,0.2637,5.3589,5.7362,2.241,0.28,180.26,"[5.481786600023042, 5.597375400015153, 6.124658000015188, 5.4906215999799315, 5.59305399999721, 5.7982670000055805, 5.158938699983992, 5.502047499991022, 5.43711849997635, 5.833542300009867]"
1,Dynamic,Kaggle Pneumonia,100,1,2.859,0.1217,2.7718,2.9459,1.0,1.0,34.98,"[3.179072400002042, 3.032804500020575, 2.9623052999959327, 2.8597756999952253, 2.9119151000049897, 2.8579120000067633, 2.837644699990051, 2.8394244000082836, 2.795701700000791, 2.788828300021123]"
1,Dynamic Adaptive,Kaggle Pneumonia,100,1,2.916,0.0381,2.8887,2.9432,1.0,1.0,34.29,"[2.9517606000008527, 2.912147399998503, 2.919701200007694, 2.8802644000097644, 2.848856700002216, 2.9326426000043284, 2.98465839997516, 2.922208400006639, 2.90501350001432, 2.8874051999882795]"
1,Dynamic,Kaggle Pneumonia,100,2,2.324,0.0308,2.3016,2.3458,1.23,0.615,43.03,"[2.283722399995895, 2.308935899985954, 2.3604478999914136, 2.2899959000060335, 2.323449299990898, 2.323948200006271, 2.325354000000516, 2.2842412999889348, 2.344711100013228, 2.371694600005867]"
1,Dynamic Adaptive,Kaggle Pneumonia,100,2,2.546,0.2731,2.3505,2.7413,1.145,0.573,39.28,"[2.592720799992094, 2.4790024000103585, 2.5526448999880813, 2.5344271000067238, 2.5239841000002343, 2.539095999993151, 3.1205385999928694, 2.4631603000161704, 3.2232203999883495, 2.5849371000076644]"
1,Dynamic,Kaggle Pneumonia,100,4,2.377,0.1362,2.2799,2.4748,1.203,0.301,42.06,"[2.288828900025692, 2.38193339999998, 2.4193716000008862, 2.3377948999986984, 2.3072565000038594, 2.3447876000136603, 2.502859999978682, 2.5817388000141364, 2.7170140000234824, 2.372780599980615]"
1,Dynamic Adaptive,Kaggle Pneumonia,100,4,2.473,0.0241,2.4557,2.4902,1.179,0.295,40.44,"[2.501323799981037, 2.476307100005215, 2.4425986999995075, 2.469626700010849, 2.506194299989147, 2.5008235999848694, 2.477139399998123, 2.4639010000100825, 2.4350579000019934, 2.4646640999999363]"
1,Dynamic,Kaggle Pneumonia,100,8,3.099,0.1368,3.0011,3.1969,0.923,0.115,32.27,"[2.9722986000124365, 2.9352850999857765, 3.081413200008683, 3.4245513000059873, 3.2264454000105616, 3.1592065000149887, 3.0533439999853726, 3.1006077000056393, 3.097853400016902, 3.1001213999988977]"
1,Dynamic Adaptive,Kaggle Pneumonia,100,8,3.356,0.148,3.2501,3.4619,0.869,0.109,29.8,"[3.7336779000179376, 3.285123100009514, 3.2694877999892924, 3.430979800003115, 3.338931300007971, 3.347524099983275, 3.578685700020287, 3.4967880999902263, 3.364499099989189, 3.3100148999947123]"
1,Dynamic,Kaggle Pneumonia,500,1,10.646,0.7177,10.1327,11.1595,1.0,1.0,46.97,"[11.48005959999864, 10.415759099996649, 10.891509999986738, 10.236200600018492, 10.945584600005532, 11.895942000002833, 10.87644230001024, 9.937841200007824, 9.651246299996274, 9.964003300003242]"
1,Dynamic Adaptive,Kaggle Pneumonia,500,1,10.079,0.2105,9.9281,10.2292,1.0,1.0,49.61,"[10.354925599996932, 10.097046500013676, 10.135334399994463, 10.016000200004783, 10.077710699988529, 9.649777399987215, 9.785764200001722, 9.872232399997301, 10.079541899991455, 10.23841699998593]"
1,Dynamic,Kaggle Pneumonia,500,2,6.324,0.1129,6.2428,6.4043,1.683,0.842,79.07,"[6.0820534999947995, 6.291804600012256, 6.347677699988708, 6.431496800010791, 6.394475999986753, 6.315557399997488, 6.229446200013626, 6.311790899984771, 6.493785500002559, 6.331496900005732]"
1,Dynamic Adaptive,Kaggle Pneumonia,500,2,6.497,1.23,5.6167,7.3764,1.551,0.775,76.96,"[7.0624437000078615, 8.16324889997486, 6.4276951999927405, 9.397846900013974, 9.198839499993483, 6.363878100004513, 6.33757569998852, 6.33144639999955, 6.392189999984112, 6.565388799994253]"
1,Dynamic,Kaggle Pneumonia,500,4,4.616,0.1659,4.497,4.7345,2.306,0.577,108.32,"[4.642392099980498, 4.802008500002557, 4.8175760000012815, 4.986800799990306, 4.635066700022435, 4.489108699985081, 4.557885699992767, 4.5964247999945655, 4.490950700012036, 4.506955000018934]"
1,Dynamic Adaptive,Kaggle Pneumonia,500,4,5.151,0.5481,4.7585,5.5427,1.957,0.489,97.08,"[6.670953900000313, 5.192232900008094, 5.196010999992723, 5.621610300004249, 5.108971800014842, 5.445965099992463, 4.842738200008171, 5.106005500012543, 4.802583699987736, 4.9160608999955]"
1,Dynamic,Kaggle Pneumonia,500,8,4.506,0.2612,4.3195,4.6931,2.363,0.295,110.96,"[4.350106099998811, 4.497249000007287, 4.482465899985982, 4.453806200006511, 4.449132500012638, 4.792790799983777, 4.515332900016801, 4.745430500013754, 5.089140800002497, 5.042322900000727]"
1,Dynamic Adaptive,Kaggle Pneumonia,500,8,5.437,0.2225,5.2776,5.5958,1.854,0.232,91.97,"[4.981323399988469, 5.17919759999495, 5.130029799998738, 5.571732199983671, 5.6918252000177745, 5.429775299999164, 5.443635700008599, 5.497943499998655, 5.523738500021864, 5.285331399994902]"
1,Dynamic,Kaggle Pneumonia,1000,1,19.955,1.6852,18.7494,21.1605,1.0,1.0,50.11,"[23.716849299991736, 22.564389899984235, 21.227403900003992, 21.322780299989972, 20.513707199977944, 19.3163601999986, 19.178460100025404, 19.396148700005142, 18.93054510001093, 18.792555499996524]"
1,Dynamic Adaptive,Kaggle Pneumonia,1000,1,18.254,0.5382,17.8693,18.6393,1.0,1.0,54.78,"[19.67834899999434, 18.881508199992822, 17.76933179999469, 18.377453799999785, 18.69088229999761, 18.05954839999322, 18.168431800004328, 18.276207699993392, 18.16689100000076, 18.23240320000332]"
1,Dynamic,Kaggle Pneumonia,1000,2,11.418,0.2666,11.2272,11.6086,1.748,0.874,87.58,"[10.867639999982202, 11.210100699972827, 11.100323699996807, 11.33482700001332, 11.45374670001911, 11.381987000000663, 11.536050399998203, 11.544159100012621, 11.798514499998419, 11.569752300012624]"
1,Dynamic Adaptive,Kaggle Pneumonia,1000,2,11.74,1.1734,10.9008,12.5797,1.555,0.777,85.18,"[11.524430700024823, 12.006592699995963, 11.931792100018356, 11.548683700006222, 13.773955999989994, 13.246759000001475, 14.33456450002268, 11.101892100006808, 11.221308800013503, 11.14527989999624]"
1,Dynamic,Kaggle Pneumonia,1000,4,7.564,0.1627,7.4478,7.6805,2.638,0.659,132.2,"[7.355101900000591, 7.5122256000177, 7.588440899999114, 7.681751900003292, 7.933814500021981, 7.530455600004643, 7.540857300016796, 7.521099499979755, 7.587436700006947, 7.794388799986336]"
1,Dynamic Adaptive,Kaggle Pneumonia,1000,4,8.246,1.1806,7.4018,9.0909,2.214,0.553,121.27,"[8.075707100011641, 10.134845100023085, 10.646207300014794, 8.318021999992197, 7.857169300026726, 10.432003599999007, 8.17461389998789, 8.136702899995726, 10.320563200017205, 8.159470499987947]"
1,Dynamic,Kaggle Pneumonia,1000,8,7.051,0.183,6.9205,7.1824,2.83,0.354,141.81,"[7.07247029998689, 7.1554788000066765, 6.888414000015473, 7.346011199988425, 7.296727900014957, 6.961987000016961, 7.012871899991296, 7.015678600000683, 7.0304809999943245, 7.446730399999069]"
1,Dynamic Adaptive,Kaggle Pneumonia,1000,8,7.169,0.3742,6.9017,7.4371,2.546,0.318,139.48,"[7.229759200010449, 7.993004000018118, 7.092120100016473, 7.109081600006903, 7.4242941000266, 7.490772099990863, 6.770780399994692, 7.057493100001011, 7.6960287999827415, 6.908666600007564]"
