Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Std,CI_low,CI_high,Speedup,Efficiency,Throughput,all_times
3,Dynamic,NIH,100,1,1.736,0.0218,1.7205,1.7516,1.0,1.0,57.6,"[1.7843456999999998, 1.7596584000000002, 1.7285119, 1.7353789000000006, 1.7662443999999997, 1.7538082999999993, 1.7233140000000002, 1.7137156999999998, 1.7366469000000002, 1.734919099999999]"
3,Dynamic True,NIH,100,1,1.778,0.0098,1.7709,1.7849,1.0,1.0,56.25,"[1.7769329999999997, 1.774985700000002, 1.8025188000000014, 1.777243200000001, 1.7669010999999983, 1.7857586999999988, 1.7835655000000017, 1.7749627999999973, 1.7786230999999972, 1.7886919000000034]"
3,Dynamic,NIH,100,2,1.32,0.0085,1.3135,1.3257,1.315,0.657,75.78,"[1.3220434999999995, 1.3250310999999968, 1.3213285, 1.3175476999999987, 1.3009160000000008, 1.3220116999999973, 1.3179390999999967, 1.3120222000000012, 1.3229365999999985, 1.3028168999999963]"
3,Dynamic True,NIH,100,2,1.386,0.0114,1.378,1.3943,1.283,0.641,72.14,"[1.3828833999999972, 1.3830440999999993, 1.4086249999999936, 1.3902558000000056, 1.3879870000000025, 1.372950600000003, 1.4001312000000041, 1.401872499999996, 1.3769880999999984, 1.3843476999999993]"
3,Dynamic,NIH,100,4,1.156,0.0082,1.1504,1.1621,1.502,0.376,86.49,"[1.1536361, 1.1535815999999954, 1.1605108999999914, 1.1629140999999947, 1.173687000000001, 1.152212899999995, 1.1588661000000116, 1.159121099999993, 1.1460739999999987, 1.1466462000000064]"
3,Dynamic True,NIH,100,4,1.26,0.0069,1.255,1.2649,1.411,0.353,79.37,"[1.270130199999997, 1.2542891000000083, 1.257694799999996, 1.2599441999999925, 1.2728011999999893, 1.2560569999999984, 1.2642205000000075, 1.260009999999994, 1.2608321999999959, 1.2500583000000063]"
3,Dynamic,NIH,100,8,1.134,0.0162,1.1224,1.1455,1.531,0.191,88.19,"[1.132068099999998, 1.125123599999995, 1.1221611000000138, 1.1201647000000037, 1.13645360000001, 1.1267975000000092, 1.136031900000006, 1.1562260000000038, 1.171935700000006, 1.1358035999999885]"
3,Dynamic True,NIH,100,8,1.323,0.0194,1.3093,1.3371,1.344,0.168,75.57,"[1.3517822000000024, 1.3194716, 1.3391518000000104, 1.3271897000000052, 1.2964575000000025, 1.3161812000000026, 1.3433153000000004, 1.2959797000000037, 1.3036446999999924, 1.327008499999991]"
3,Dynamic,NIH,500,1,5.453,0.0243,5.4356,5.4704,1.0,1.0,91.69,"[5.419678399999995, 5.443076300000001, 5.454770400000015, 5.427018599999997, 5.444551599999983, 5.487377899999984, 5.455645899999979, 5.483411199999978, 5.489157000000006, 5.451158300000003]"
3,Dynamic True,NIH,500,1,5.478,0.0338,5.454,5.5024,1.0,1.0,91.27,"[5.484363800000011, 5.4827338999999995, 5.472806800000001, 5.455106399999977, 5.537072299999977, 5.449262300000015, 5.4737414999999885, 5.493160899999992, 5.456883900000008, 5.550498800000014]"
3,Dynamic,NIH,500,2,3.19,0.0239,3.1732,3.2074,1.709,0.855,156.72,"[3.175929800000006, 3.1687498000000005, 3.1857483, 3.2042015999999762, 3.181791699999991, 3.194340100000005, 3.189329000000015, 3.2148392, 3.252676600000001, 3.1913100999999813]"
3,Dynamic True,NIH,500,2,3.267,0.0177,3.2546,3.2799,1.677,0.839,153.03,"[3.2607401999999865, 3.2597782999999936, 3.249520899999993, 3.2800353999999743, 3.2378597000000013, 3.2818394999999896, 3.265183000000036, 3.298366099999953, 3.26937989999999, 3.2809988000000203]"
3,Dynamic,NIH,500,4,2.103,0.0084,2.0971,2.1091,2.593,0.648,237.74,"[2.100919299999987, 2.101682700000026, 2.091356399999995, 2.1045658999999546, 2.1111995999999635, 2.100859200000002, 2.113277100000005, 2.098885999999993, 2.116991100000007, 2.115576899999951]"
3,Dynamic True,NIH,500,4,2.219,0.0206,2.2046,2.2341,2.469,0.617,225.29,"[2.231272400000023, 2.2204500999999937, 2.1932767000000126, 2.239050499999962, 2.218185300000016, 2.2140161000000376, 2.202588100000014, 2.235521800000015, 2.2627107000000137, 2.2037881999999627]"
3,Dynamic,NIH,500,8,1.645,0.034,1.6209,1.6696,3.315,0.414,303.9,"[1.6260024000000044, 1.6135075999999913, 1.6673269000000346, 1.6200150000000235, 1.6537279000000353, 1.7152206999999748, 1.6368066, 1.6540598000000273, 1.6754924999999616, 1.6015297000000146]"
3,Dynamic True,NIH,500,8,1.845,0.0304,1.8237,1.8672,2.969,0.371,270.93,"[1.8525626999999645, 1.8266870999999583, 1.8386573999999882, 1.9147791999999981, 1.8700980999999501, 1.8103701, 1.8140542999999525, 1.8535032000000342, 1.8334768999999937, 1.8523301000000174]"
3,Dynamic,NIH,1000,1,10.051,0.0431,10.0197,10.0814,1.0,1.0,99.5,"[10.050374500000032, 10.066190199999994, 10.086760099999992, 10.075451199999975, 10.002961299999981, 10.050728899999967, 10.116535499999998, 10.044692199999986, 9.97109340000003, 10.009892300000047]"
3,Dynamic True,NIH,1000,1,10.12,0.0751,10.0667,10.1741,1.0,1.0,98.81,"[10.172145, 10.014408600000024, 10.200500799999986, 10.121231899999998, 9.971349599999996, 10.12264360000006, 10.026320800000008, 10.119579700000031, 10.149748900000077, 10.049637899999993]"
3,Dynamic,NIH,1000,2,5.5,0.0294,5.4791,5.5211,1.827,0.913,181.82,"[5.506470499999978, 5.503118599999993, 5.524087799999961, 5.48713209999994, 5.473754299999996, 5.494465899999909, 5.497056499999985, 5.568247900000074, 5.541137599999956, 5.479131499999994]"
