Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Std,CI_low,CI_high,Speedup,Efficiency,Throughput,all_times
3,Static,NIH,100,1,1.687,0.0191,1.6735,1.7008,1.0,1.0,59.27,"[1.7071347000000001, 1.6947306000000002, 1.712421299999999, 1.6865091999999997, 1.6877992000000006, 1.6650217000000005, 1.6559403999999986, 1.6748583000000004, 1.6688376999999974, 1.7030448000000007]"
3,Static,NIH,100,2,1.267,0.0077,1.2611,1.2722,1.331,0.665,78.95,"[1.2693012999999986, 1.2715698999999994, 1.2515658000000016, 1.2722771999999978, 1.2640306999999993, 1.254050999999997, 1.2699937000000006, 1.258121899999999, 1.269451199999999, 1.258390200000001]"
3,Static,NIH,100,4,1.15,0.064,1.1046,1.1961,1.467,0.367,86.93,"[1.149216200000005, 1.1514604000000048, 1.3436465999999996, 1.1673703000000017, 1.1394676999999973, 1.1308001000000019, 1.1527438000000032, 1.136229499999999, 1.1484397000000044, 1.209991500000001]"
3,Static,NIH,100,8,1.284,0.0836,1.2241,1.3437,1.314,0.164,77.89,"[1.2509177000000022, 1.2626854999999892, 1.2612471000000056, 1.5377650000000074, 1.3033350999999982, 1.3090006999999986, 1.2764600000000002, 1.2928554000000076, 1.2746765999999923, 1.2912694999999985]"
3,Static,NIH,500,1,5.514,0.0773,5.4589,5.5694,1.0,1.0,90.68,"[5.500120899999999, 5.531643500000001, 5.472295599999995, 5.712736399999997, 5.4615005, 5.446165000000008, 5.528146800000016, 5.586696100000012, 5.547768300000001, 5.500118400000019]"
3,Static,NIH,500,2,3.817,0.0193,3.8034,3.831,1.445,0.723,130.99,"[3.817922100000004, 3.824127400000009, 3.7848047000000236, 3.836775799999998, 3.829978400000016, 3.8299307000000056, 3.8010491999999942, 3.813313099999988, 3.779510600000009, 3.8164799000000187]"
3,Static,NIH,500,4,3.965,0.0173,3.9525,3.9773,1.391,0.348,126.11,"[3.9945999999999913, 3.972169199999996, 3.9541102000000024, 3.942974100000015, 3.96635950000001, 3.9498431000000096, 3.993951900000013, 3.963509500000015, 3.961533199999991, 3.977383799999984]"
3,Static,NIH,500,8,6.108,0.0887,6.0447,6.1715,0.903,0.113,81.86,"[6.0573105, 6.050609399999985, 6.045053600000017, 6.165631500000018, 6.211658800000009, 6.158439899999962, 6.0343025999999895, 6.291912800000034, 6.183204100000012, 6.057769699999994]"
3,Static,NIH,1000,1,10.196,0.0255,10.1778,10.2143,1.0,1.0,98.08,"[10.212072400000011, 10.249886199999992, 10.210588200000018, 10.172315900000001, 10.203337500000032, 10.164137299999993, 10.195156800000007, 10.196956400000033, 10.170875999999964, 10.180626000000018]"
3,Static,NIH,1000,2,6.161,0.0287,6.1402,6.1812,1.655,0.828,162.32,"[6.171722799999998, 6.182500600000026, 6.126170299999956, 6.175184600000023, 6.112795500000004, 6.149680399999966, 6.120658300000002, 6.173121300000048, 6.19511, 6.139973499999996]"
