Laptop,Variante,Datensatz,Bilder,Prozesse,Laufzeit in s,Std,CI_low,CI_high,Speedup,Efficiency,Throughput,all_times
2,Dynamic True,NIH,1000,4,2.658,0.1422,2.5563,2.7598,2.918,0.73,376.21,"[2.3832036029925803, 2.394820700996206, 2.6604799249907956, 2.393803895000019, 2.660690718999831, 2.3867735959938727, 2.6556464669993147, 2.6733717269962654, 2.669225991005078, 2.6695842189947143]"
2,Dynamic,NIH,1000,8,1.687,0.062,1.6423,1.731,4.584,0.573,592.9,"[1.8697549890057417, 1.686060443011229, 1.6789471829979448, 1.690275767003186, 1.6757349739928031, 1.6826901390013518, 1.7702795690129278, 1.6847069369978271, 1.6871868839953095, 1.688033116995939]"
2,Dynamic True,NIH,1000,8,1.758,0.0957,1.6891,1.8261,4.412,0.551,568.95,"[1.6698814900009893, 1.6658208830049261, 1.848480777000077, 1.6685536970035173, 1.8553258980100509, 1.8471829500049353, 1.8509774310077773, 1.6685767769959057, 1.845371597999474, 1.6667622170061804]"
2,Dynamic,Kaggle Pneumonia,100,1,0.964,0.0058,0.9602,0.9685,1.0,1.0,103.7,"[0.9629609640105627, 0.9737566239928128, 0.9640871839947067, 0.9638971860113088, 0.9762550460000057, 0.9646236550033791, 0.9617512510012602, 0.976000358001329, 0.9628611910011386, 0.9656882190029137]"
2,Dynamic True,Kaggle Pneumonia,100,1,0.961,0.0053,0.9574,0.9649,1.0,1.0,104.04,"[0.965141651002341, 0.9621762930037221, 0.9702820219972637, 0.9550580629875185, 0.9566451090067858, 0.9608200030052103, 0.9565355030063074, 0.9532207079901127, 0.9646243920142297, 0.961469596993993]"
2,Dynamic,Kaggle Pneumonia,100,2,0.571,0.0268,0.5514,0.5897,1.688,0.844,175.27,"[0.6540360180079006, 0.5757216769998195, 0.570746166005847, 0.5703356039884966, 0.570844160989509, 0.5691065220016753, 0.5667338289931649, 0.566422092000721, 0.5713176720018964, 0.5673850140010472]"
2,Dynamic True,Kaggle Pneumonia,100,2,0.561,0.0031,0.5592,0.5636,1.713,0.857,178.14,"[0.5641236380033661, 0.5611168229952455, 0.5635242409916827, 0.55897895101225, 0.5576322970009642, 0.5637515389971668, 0.5640963379992172, 0.5600931370136095, 0.5550095729995519, 0.5616248589940369]"
2,Dynamic,Kaggle Pneumonia,100,4,0.372,0.0028,0.3703,0.3743,2.591,0.648,268.61,"[0.3803728219936602, 0.3738802180014318, 0.3714709540072363, 0.37175900700094644, 0.37246411301021, 0.371886868000729, 0.37211155000841245, 0.370439204009017, 0.3730378829932306, 0.37254162899625953]"
2,Dynamic True,Kaggle Pneumonia,100,4,0.361,0.0024,0.3591,0.3626,2.662,0.665,277.14,"[0.3676073070091661, 0.36210373300127685, 0.35970932799682487, 0.361404176990618, 0.3610946539993165, 0.3613048709958093, 0.36057252300088294, 0.35871266399044544, 0.36030253500211984, 0.3604787659860449]"
2,Dynamic,Kaggle Pneumonia,100,8,0.297,0.0033,0.2944,0.2991,3.246,0.406,336.98,"[0.296769801992923, 0.29434657300589606, 0.2959718799975235, 0.29644734400790185, 0.29689926499850117, 0.29759293000097387, 0.2988590320019284, 0.28890211999532767, 0.30156324899871834, 0.2967409169941675]"
